recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
19,2,Tamarind Water - extract from a big lemon sized tamarind,extract from a big lemon sized tamarind,,extract from a big lemon sized tamarind,,,size,
19,7,Salt - to taste,to taste,,to taste,,to taste,,
21,8,Salt - Pinch,Pinch,,,,pinch,,
22,8,Salt - to taste,to taste,,to taste,,to taste,,
22,9,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
23,6,1/4 teaspoon Enos fruit salt - optional,optional,,optional,,,optional,
23,7,Ghee - for cooking,for cooking,,,for cooking,,for cooking,
23,8,Salt - a pinch,a pinch,,a pinches,,,a pinch,
24,2,Tamarind - small lemon sized,small lemon sized,,,,,small lemon sized,size
24,6,1/4 teaspoon Asafoetida (hing) - powder,powder,,,,,,
24,8,Salt - to taste,to taste,,to taste,,,to taste,
25,5,Salt - to taste,to taste,,to taste,,,to taste,
25,15,Salt - to taste,to taste,,to taste,,,to taste,
25,16,2 tablespoons Coconut Oil - as required,as required,,as required,,,as required,
26,2,1 Tamarind - malabar,malabar,,,,,,
26,3,Salt - to taste,to taste,,to taste,,,to taste,
27,3,1 cup Curd (Dahi / Yogurt) - or buttermilk,or buttermilk,,Dahi,,,or butter milk,substitute
27,4,pinch Turmeric powder (Haldi) - to reduce bitter from bitter gourd,to reduce bitter from bitter gourd,,to reduce bitter from bitter gourd,,,,
27,5,Salt - to taste,to taste,,to taste,,,to taste,
27,12,Curry leaves - few,few,,,,,few,amt
28,9,Salt - to taste,to taste,,to taste,,,to taste,
29,2,1 Green Chilli - adjustable,adjustable,,adjustable,,,adjustable,
29,11,Tamarind - Gooseberry Sized,Gooseberry Sized,,,,,,
29,12,Sunflower Oil - as required,as required,,as required,,,as required,
29,13,Salt - to taste,to taste,,to taste,,,to taste,
30,4,Salt - to taste,to taste,,to taste,,,to taste,
31,8,1 dry red chili - Break it,Break it,,Break it,,,break it,
31,10,salt - as per taste,as per taste,,as per taste,,,as per taste,
32,1,1-1/2 cups Mixed dry fruits - I used apricot,I used apricot,,I used apricot,,,,
32,2,3/4 cup Rum - or Double with orange juice,or Double with orange juice,,or Double with orange juice,,,,
32,15,1-1/2 cups Mixed nuts - I used almond,I used almond,,I used almond,,,,
